"NAME","F_CLASS","F_DESIG","LAT","LONG","ADM1","ADM2"
"Zanzara","P","PPL","   8.9166","  11.5000","Taraba","Yorro"
"Zanua Hill","T","HLL","  12.3333","   3.6833","Kebbi","Arewa"
"Dutsen Zanoro","T","PK","  10.1166","   8.7833","Plateau","Bassa"
"Zankuwa","P","PPL","   9.7833","   8.2833","Kaduna","ZangonKa"
"Zankoro","P","PPL","  10.6500","   7.1666","Kaduna","Chikun"
"Zanko","P","PPL","   7.5333","   8.0666","Benue","Oturkpo"
"Zankan","P","PPL","   9.6166","   8.5333","Kaduna","Kaura"
"Zankam","P","PPL","  11.3333","  10.3000","Bauchi","Misau"
"Zangwan Katab","P","PPL","   9.8333","   8.4000","Kaduna","ZangonKa"
"Zangwan Daji","P","PPL","   8.3500","   7.6333","Plateau","Nasarawa"
"Zangwan Aya","P","PPL","  10.9166","   7.6666","Kaduna","Igabi"
"Zangulu Yusufu","P","PPL","  10.3833","  12.5500","Borno","Shani"
"Zangula River Forest Reserve","L","RESF","  10.3666","  12.7333","Adamwara","Hong"
"Zangula Kwalamba","P","PPL","  10.3666","  12.5666","Borno","Shani"
"Zangula Kilba","P","PPL","  10.3000","  12.7666","Adamwara","Hong"
"Mayo Zangula","H","STM","  10.4833","  12.6000","Borno","Askira/U"
"Zangula","P","PPL","  10.4666","  12.6000","Borno","Askira/U"
"Zangoro","P","PPL","  10.0666","   6.5666","Niger","Shiroro"
"Zango Marke","P","PPL","  11.5833","   7.5500","Katsina","Bakori"
"Zangon Maihanchi","P","PPL","  11.7833","   7.7166","Katsina","Malumfas"
"Zangon Katab","P","PPL","   9.8333","   8.4000","Kaduna","ZangonKa"
"Zangon Kanya","P","PPL","  12.1666","   9.2000","Jigawa","Ringim"
"Zangon Gulya","P","PPL","  12.0500","   8.9500","Kano","Gabasawa"
"Zangongoye","P","PPL","  12.0833","   9.5333","Jigawa","Jahun"
"Zangon Aya","P","PPL","  10.9166","   7.6666","Kaduna","Igabi"
"Zangon","P","PPL","  11.8333","   8.0166","Kano","Gwarzo"
"Zango","P","PPL","  13.0500","   8.4833","Katsina","Zango"
"Zango","P","PPL","  12.3833","   7.5833","Katsina","Dutsin-M"
"Zango","P","PPL","  12.3500","   9.1000","Jigawa","Garki"
"Zango","P","PPL","  12.1666","   9.1000","Jigawa","Ringim"
"Zango","P","PPL","  11.9847","   8.2805","Kano","RiminGad"
"Zango","P","PPL","  11.9000","   8.0000","Kano","Gwarzo"
"Zango","P","PPL","  11.7833","   7.8333","Katsina","Malumfas"
"Zango","P","PPL","   9.7666","   9.3666","Bauchi","Tafawa-B"
"Zango","P","PPL","   8.8141","   7.3466","FCT","AbujaMun"
"Zangli","P","PPL","   9.9333","  10.1333","Bauchi","Alkaleri"
"Zangi","P","PPL","  11.2500","   8.0833","Kaduna","Ikara"
"Zangero","P","PPL","  11.2333","   6.0333","Kebbi","Sakaba"
"Zangeri","P","PPL","  11.6500","  14.1666","Borno","Bama"
"Zangera","P","PPL","   9.9833","  12.4666","Adamwara","Song"
"Zange","P","PPL","  10.5666","  10.7666","Bauchi","Dukku"
